"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Fish","19641","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18774","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20034","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19934","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20190","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20037","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14782","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14765","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14764","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14772","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14779","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14773","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14780","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14817","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14776","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14766","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14781","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14778","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14777","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14808","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14811","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14816","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14774","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16332","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14804","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14802","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14805","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14807","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14806","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14803","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14763","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16334","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14762","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16329","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16331","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16328","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16333","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16327","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14761","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14783","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16330","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16320","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14791","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16324","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16321","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16322","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16319","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14790","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16317","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16326","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16323","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16325","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14813","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16337","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14775","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16336","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16318","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14809","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16335","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14789","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14812","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14810","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14818","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14820","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14814","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14819","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14784","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14786","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14785","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14787","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14815","Atlantic Ocean",,,"Atlantic Ocean"
