"collectionCode","catalogNumber","decimalLatitude","decimalLongitude","error"
"Fish","145500","31.92945",,"missing decimalLongitude"
"Fish","145497","31.92945",,"missing decimalLongitude"
"Fish","145501","31.92945",,"missing decimalLongitude"
"Fish","145499","31.92945",,"missing decimalLongitude"
"Fish","146351","31.92945",,"missing decimalLongitude"
"Fish","146359","31.92945",,"missing decimalLongitude"
"Fish","146358","31.92945",,"missing decimalLongitude"
"Fish","146357","31.92945",,"missing decimalLongitude"
"Fish","146356","31.92945",,"missing decimalLongitude"
"Fish","146355","31.92945",,"missing decimalLongitude"
"Fish","146354","31.92945",,"missing decimalLongitude"
"Fish","146352","31.92945",,"missing decimalLongitude"
"Fish","146353","31.92945",,"missing decimalLongitude"
"Fish","147206","31.92945",,"missing decimalLongitude"
"Fish","147207","31.92945",,"missing decimalLongitude"
"Fish","147204","31.92945",,"missing decimalLongitude"
"Fish","147205","31.92945",,"missing decimalLongitude"
"Fish","147208","31.92945",,"missing decimalLongitude"
"Fish","147209","31.92945",,"missing decimalLongitude"
"Fish","147210","31.92945",,"missing decimalLongitude"
"Fish","147211","31.92945",,"missing decimalLongitude"
"Fish","147213","31.92945",,"missing decimalLongitude"
"Fish","147212","31.92945",,"missing decimalLongitude"
"Fish","147202","31.92945",,"missing decimalLongitude"
"Fish","147201","31.92945",,"missing decimalLongitude"
"Fish","147203","31.92945",,"missing decimalLongitude"
"Fish","147200","31.92945",,"missing decimalLongitude"
"Fish","148043","31.92945",,"missing decimalLongitude"
"Fish","148037","31.92945",,"missing decimalLongitude"
"Fish","148041","31.92945",,"missing decimalLongitude"
"Fish","148039","31.92945",,"missing decimalLongitude"
"Fish","148044","31.92945",,"missing decimalLongitude"
"Fish","148040","31.92945",,"missing decimalLongitude"
"Fish","148038","31.92945",,"missing decimalLongitude"
"Fish","148035","31.92945",,"missing decimalLongitude"
"Fish","148036","31.92945",,"missing decimalLongitude"
"Fish","148042","31.92945",,"missing decimalLongitude"
"Fish","148034","31.92945",,"missing decimalLongitude"
"Fish","148033","31.92945",,"missing decimalLongitude"
"Fish","149431","31.92945",,"missing decimalLongitude"
"Fish","148843","31.92945",,"missing decimalLongitude"
"Fish","148847","31.92945",,"missing decimalLongitude"
"Fish","148850","31.92945",,"missing decimalLongitude"
"Fish","148848","31.92945",,"missing decimalLongitude"
"Fish","148846","31.92945",,"missing decimalLongitude"
"Fish","148854","31.92945",,"missing decimalLongitude"
"Fish","148855","31.92945",,"missing decimalLongitude"
"Fish","148852","31.92945",,"missing decimalLongitude"
"Fish","148851","31.92945",,"missing decimalLongitude"
"Fish","148849","31.92945",,"missing decimalLongitude"
"Fish","148853","31.92945",,"missing decimalLongitude"
"Fish","148842","31.92945",,"missing decimalLongitude"
"Fish","148844","31.92945",,"missing decimalLongitude"
"Fish","148845","31.92945",,"missing decimalLongitude"
"Fish","149402","31.98083",,"missing decimalLongitude"
"Fish","149403","31.98083",,"missing decimalLongitude"
"Fish","149400","31.98083",,"missing decimalLongitude"
"Fish","149401","31.98083",,"missing decimalLongitude"
"Fish","149399","31.98083",,"missing decimalLongitude"
"Fish","149430","31.92945",,"missing decimalLongitude"
"Fish","149433","31.92945",,"missing decimalLongitude"
"Fish","149432","31.92945",,"missing decimalLongitude"
"Fish","149434","31.92945",,"missing decimalLongitude"
"Fish","149435","31.92945",,"missing decimalLongitude"
"Fish","150811","31.98083",,"missing decimalLongitude"
"Fish","150812","31.98083",,"missing decimalLongitude"
"Fish","150814","31.98083",,"missing decimalLongitude"
"Fish","150813","31.98083",,"missing decimalLongitude"
"Fish","150817","31.98083",,"missing decimalLongitude"
"Fish","150815","31.98083",,"missing decimalLongitude"
"Fish","150816","31.98083",,"missing decimalLongitude"
"Fish","150836","31.92945",,"missing decimalLongitude"
"Fish","150838","31.92945",,"missing decimalLongitude"
"Fish","150837","31.92945",,"missing decimalLongitude"
"Fish","150835","31.92945",,"missing decimalLongitude"
"Fish","150834","31.92945",,"missing decimalLongitude"
"Fish","151453","31.98083",,"missing decimalLongitude"
"Fish","151454","31.98083",,"missing decimalLongitude"
"Fish","151455","31.98083",,"missing decimalLongitude"
"Fish","151456","31.98083",,"missing decimalLongitude"
"Fish","152377","31.98083",,"missing decimalLongitude"
"Fish","152379","31.98083",,"missing decimalLongitude"
"Fish","152376","31.98083",,"missing decimalLongitude"
"Fish","152378","31.98083",,"missing decimalLongitude"
"Fish","152993","31.98083",,"missing decimalLongitude"
"Fish","152992","31.98083",,"missing decimalLongitude"
"Fish","152994","31.98083",,"missing decimalLongitude"
"Fish","152998","31.98083",,"missing decimalLongitude"
"Fish","153000","31.98083",,"missing decimalLongitude"
"Fish","152999","31.98083",,"missing decimalLongitude"
"Fish","152996","31.98083",,"missing decimalLongitude"
"Fish","152995","31.98083",,"missing decimalLongitude"
"Fish","152997","31.98083",,"missing decimalLongitude"
"Fish","153887","31.98083",,"missing decimalLongitude"
"Fish","153892","31.98083",,"missing decimalLongitude"
"Fish","153891","31.98083",,"missing decimalLongitude"
"Fish","153889","31.98083",,"missing decimalLongitude"
"Fish","153893","31.98083",,"missing decimalLongitude"
