"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Fish","201628",,"Pacific Ocean","Asia","Asia"
"Fish","201595",,"Pacific Ocean","Asia","Asia"
"Fish","201553",,"Pacific Ocean","Asia","Asia"
"Fish","201565",,"Pacific Ocean","Asia","Asia"
"Fish","201530",,"Pacific Ocean","Asia","Asia"
"Fish","201531",,"Pacific Ocean","Asia","Asia"
"Fish","201532",,"Pacific Ocean","Asia","Asia"
"Fish","201533",,"Pacific Ocean","Asia","Asia"
"Fish","201534",,"Pacific Ocean","Asia","Asia"
"Fish","201535",,"Pacific Ocean","Asia","Asia"
"Fish","201536",,"Pacific Ocean","Asia","Asia"
"Fish","201537",,"Pacific Ocean","Asia","Asia"
"Fish","201538",,"Pacific Ocean","Asia","Asia"
"Fish","201539",,"Pacific Ocean","Asia","Asia"
"Fish","201528",,"Pacific Ocean","Asia","Asia"
"Fish","201541",,"Pacific Ocean","Asia","Asia"
"Fish","201527",,"Pacific Ocean","Asia","Asia"
"Fish","201554",,"Pacific Ocean","Asia","Asia"
"Fish","201555",,"Pacific Ocean","Asia","Asia"
"Fish","201556",,"Pacific Ocean","Asia","Asia"
"Fish","201557",,"Pacific Ocean","Asia","Asia"
"Fish","201558",,"Pacific Ocean","Asia","Asia"
"Fish","201559",,"Pacific Ocean","Asia","Asia"
"Fish","201560",,"Pacific Ocean","Asia","Asia"
"Fish","201561",,"Pacific Ocean","Asia","Asia"
"Fish","201562",,"Pacific Ocean","Asia","Asia"
"Fish","201563",,"Pacific Ocean","Asia","Asia"
"Fish","201496",,"Pacific Ocean","Asia","Asia"
"Fish","201540",,"Pacific Ocean","Asia","Asia"
"Fish","201515",,"Pacific Ocean","Asia","Asia"
"Fish","201497",,"Pacific Ocean","Asia","Asia"
"Fish","201498",,"Pacific Ocean","Asia","Asia"
"Fish","201499",,"Pacific Ocean","Asia","Asia"
"Fish","201505",,"Pacific Ocean","Asia","Asia"
"Fish","201506",,"Pacific Ocean","Asia","Asia"
"Fish","201507",,"Pacific Ocean","Asia","Asia"
"Fish","201508",,"Pacific Ocean","Asia","Asia"
"Fish","201378",,"Pacific Ocean","Asia","Asia"
"Fish","201510",,"Pacific Ocean","Asia","Asia"
"Fish","201366",,"Pacific Ocean","Asia","Asia"
"Fish","201512",,"Pacific Ocean","Asia","Asia"
"Fish","201529",,"Pacific Ocean","Asia","Asia"
"Fish","201514",,"Pacific Ocean","Asia","Asia"
"Fish","201566",,"Pacific Ocean","Asia","Asia"
"Fish","201516",,"Pacific Ocean","Asia","Asia"
"Fish","201517",,"Pacific Ocean","Asia","Asia"
"Fish","201518",,"Pacific Ocean","Asia","Asia"
"Fish","201519",,"Pacific Ocean","Asia","Asia"
"Fish","201520",,"Pacific Ocean","Asia","Asia"
"Fish","201521",,"Pacific Ocean","Asia","Asia"
"Fish","201522",,"Pacific Ocean","Asia","Asia"
"Fish","201523",,"Pacific Ocean","Asia","Asia"
"Fish","201524",,"Pacific Ocean","Asia","Asia"
"Fish","201525",,"Pacific Ocean","Asia","Asia"
"Fish","201526",,"Pacific Ocean","Asia","Asia"
"Fish","201513",,"Pacific Ocean","Asia","Asia"
"Fish","201612",,"Pacific Ocean","Asia","Asia"
"Fish","201564",,"Pacific Ocean","Asia","Asia"
"Fish","201600",,"Pacific Ocean","Asia","Asia"
"Fish","201601",,"Pacific Ocean","Asia","Asia"
"Fish","201602",,"Pacific Ocean","Asia","Asia"
"Fish","201603",,"Pacific Ocean","Asia","Asia"
"Fish","201604",,"Pacific Ocean","Asia","Asia"
